Disease,Symptoms,Medicine/Remedy
Diabetes (High Sugar Symptoms),"excessive thirst, blurred vision, frequent urination, fatigue","consult doctor, insulin (if prescribed), diet control"
Hypertension (High BP),"fatigue, dizziness, headache, chest pain","blood pressure medication, low-salt diet"
Migraine,"headache, dizziness, nausea, sensitivity to light","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"chest pain, dizziness","blood pressure medication, low-salt diet"
Hypertension (High BP),"dizziness, chest pain","blood pressure medication, low-salt diet"
Malaria,"chills, nausea","antimalarial drugs, paracetamol"
Migraine,"dizziness, headache, sensitivity to light, nausea","ibuprofen, rest in dark room, hydration"
Malaria,"fever, chills","antimalarial drugs, paracetamol"
Food Poisoning,"fever, stomach pain","ORS, hydration, light diet"
Common Cold,"cough, sore throat, sneezing, fatigue","rest, steam inhalation, paracetamol"
Migraine,"headache, dizziness, sensitivity to light, nausea","ibuprofen, rest in dark room, hydration"
Allergy,"runny nose, sneezing, rash, itchy eyes","antihistamine, avoid allergen"
Migraine,"nausea, sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"frequent urination, blurred vision, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
COVID-19,"fever, fatigue","rest, hydration, medical checkup"
Food Poisoning,"diarrhea, fever","ORS, hydration, light diet"
Malaria,"nausea, headache","antimalarial drugs, paracetamol"
Diabetes (High Sugar Symptoms),"frequent urination, blurred vision, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
Asthma,"cough, wheezing","inhaler, avoid triggers"
Common Cold,"runny nose, fatigue","rest, steam inhalation, paracetamol"
Allergy,"sneezing, runny nose","antihistamine, avoid allergen"
COVID-19,"fatigue, difficulty breathing","rest, hydration, medical checkup"
Diabetes (High Sugar Symptoms),"frequent urination, excessive thirst","consult doctor, insulin (if prescribed), diet control"
Migraine,"headache, sensitivity to light, nausea, dizziness","ibuprofen, rest in dark room, hydration"
Malaria,"fever, headache, sweating, chills","antimalarial drugs, paracetamol"
Food Poisoning,"stomach pain, fever, nausea","ORS, hydration, light diet"
COVID-19,"fatigue, loss of smell","rest, hydration, medical checkup"
Malaria,"nausea, sweating, chills, headache","antimalarial drugs, paracetamol"
COVID-19,"difficulty breathing, fatigue, loss of taste","rest, hydration, medical checkup"
Hypertension (High BP),"fatigue, headache, chest pain","blood pressure medication, low-salt diet"
Asthma,"wheezing, chest tightness","inhaler, avoid triggers"
Migraine,"headache, nausea","ibuprofen, rest in dark room, hydration"
Allergy,"itchy eyes, rash, sneezing","antihistamine, avoid allergen"
COVID-19,"loss of smell, difficulty breathing, fever, loss of taste","rest, hydration, medical checkup"
Common Cold,"sore throat, sneezing, cough","rest, steam inhalation, paracetamol"
Asthma,"wheezing, shortness of breath","inhaler, avoid triggers"
Asthma,"chest tightness, wheezing, shortness of breath, cough","inhaler, avoid triggers"
COVID-19,"loss of taste, fatigue, fever","rest, hydration, medical checkup"
Asthma,"shortness of breath, wheezing, cough, chest tightness","inhaler, avoid triggers"
Allergy,"sneezing, runny nose","antihistamine, avoid allergen"
COVID-19,"fever, cough, difficulty breathing, fatigue","rest, hydration, medical checkup"
Food Poisoning,"fever, stomach pain, vomiting","ORS, hydration, light diet"
Allergy,"sneezing, itchy eyes, runny nose","antihistamine, avoid allergen"
Flu,"fatigue, runny nose","paracetamol, rest, hydration"
Diabetes (High Sugar Symptoms),"fatigue, blurred vision, excessive thirst","consult doctor, insulin (if prescribed), diet control"
Common Cold,"cough, fatigue, sneezing","rest, steam inhalation, paracetamol"
Migraine,"nausea, dizziness, sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Common Cold,"cough, runny nose, sore throat, sneezing","rest, steam inhalation, paracetamol"
Asthma,"shortness of breath, wheezing","inhaler, avoid triggers"
Allergy,"sneezing, runny nose","antihistamine, avoid allergen"
Asthma,"shortness of breath, wheezing, chest tightness, cough","inhaler, avoid triggers"
Migraine,"dizziness, sensitivity to light","ibuprofen, rest in dark room, hydration"
Malaria,"sweating, fever, nausea","antimalarial drugs, paracetamol"
Diabetes (High Sugar Symptoms),"blurred vision, excessive thirst, frequent urination, fatigue","consult doctor, insulin (if prescribed), diet control"
Malaria,"headache, chills, nausea, sweating","antimalarial drugs, paracetamol"
COVID-19,"cough, difficulty breathing, loss of smell","rest, hydration, medical checkup"
Malaria,"sweating, chills, headache","antimalarial drugs, paracetamol"
Flu,"fatigue, runny nose, headache, fever","paracetamol, rest, hydration"
Allergy,"itchy eyes, sneezing, rash, runny nose","antihistamine, avoid allergen"
Asthma,"wheezing, shortness of breath, cough","inhaler, avoid triggers"
Allergy,"rash, sneezing, runny nose","antihistamine, avoid allergen"
COVID-19,"loss of smell, loss of taste","rest, hydration, medical checkup"
Migraine,"dizziness, sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"chest pain, fatigue, dizziness, headache","blood pressure medication, low-salt diet"
Malaria,"fever, headache","antimalarial drugs, paracetamol"
Common Cold,"cough, fatigue, sore throat","rest, steam inhalation, paracetamol"
Common Cold,"fatigue, sore throat, runny nose, cough","rest, steam inhalation, paracetamol"
Common Cold,"fatigue, runny nose, sneezing, cough","rest, steam inhalation, paracetamol"
Food Poisoning,"nausea, vomiting, diarrhea","ORS, hydration, light diet"
Common Cold,"fatigue, sneezing, runny nose, sore throat","rest, steam inhalation, paracetamol"
Migraine,"headache, sensitivity to light, dizziness","ibuprofen, rest in dark room, hydration"
Malaria,"fever, sweating","antimalarial drugs, paracetamol"
Hypertension (High BP),"chest pain, headache, dizziness, fatigue","blood pressure medication, low-salt diet"
COVID-19,"loss of taste, cough","rest, hydration, medical checkup"
Flu,"fever, runny nose","paracetamol, rest, hydration"
Flu,"sore throat, fever, cough","paracetamol, rest, hydration"
Common Cold,"fatigue, cough, sneezing","rest, steam inhalation, paracetamol"
Hypertension (High BP),"dizziness, chest pain, headache, fatigue","blood pressure medication, low-salt diet"
Migraine,"sensitivity to light, dizziness, headache","ibuprofen, rest in dark room, hydration"
Common Cold,"runny nose, cough","rest, steam inhalation, paracetamol"
Migraine,"dizziness, headache","ibuprofen, rest in dark room, hydration"
COVID-19,"difficulty breathing, loss of smell","rest, hydration, medical checkup"
Common Cold,"runny nose, fatigue","rest, steam inhalation, paracetamol"
Migraine,"sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Flu,"fatigue, headache, sore throat, fever","paracetamol, rest, hydration"
Allergy,"itchy eyes, runny nose, rash","antihistamine, avoid allergen"
Food Poisoning,"fever, vomiting, nausea","ORS, hydration, light diet"
Food Poisoning,"vomiting, fever","ORS, hydration, light diet"
Flu,"cough, fever, headache","paracetamol, rest, hydration"
Allergy,"runny nose, sneezing, itchy eyes, rash","antihistamine, avoid allergen"
Common Cold,"fatigue, cough, sneezing, runny nose","rest, steam inhalation, paracetamol"
Migraine,"sensitivity to light, nausea, dizziness, headache","ibuprofen, rest in dark room, hydration"
Allergy,"rash, runny nose, sneezing","antihistamine, avoid allergen"
Allergy,"itchy eyes, runny nose, sneezing, rash","antihistamine, avoid allergen"
Hypertension (High BP),"fatigue, dizziness","blood pressure medication, low-salt diet"
Common Cold,"fatigue, runny nose, sore throat, sneezing","rest, steam inhalation, paracetamol"
Asthma,"wheezing, chest tightness, cough, shortness of breath","inhaler, avoid triggers"
Diabetes (High Sugar Symptoms),"excessive thirst, blurred vision, frequent urination","consult doctor, insulin (if prescribed), diet control"
Asthma,"cough, wheezing, shortness of breath, chest tightness","inhaler, avoid triggers"
Hypertension (High BP),"headache, fatigue, chest pain, dizziness","blood pressure medication, low-salt diet"
Common Cold,"cough, fatigue, runny nose","rest, steam inhalation, paracetamol"
Asthma,"wheezing, chest tightness, shortness of breath","inhaler, avoid triggers"
Asthma,"wheezing, shortness of breath, cough, chest tightness","inhaler, avoid triggers"
Malaria,"nausea, headache","antimalarial drugs, paracetamol"
COVID-19,"loss of taste, fever, cough, difficulty breathing","rest, hydration, medical checkup"
Flu,"headache, fever, sore throat, cough","paracetamol, rest, hydration"
Asthma,"cough, shortness of breath","inhaler, avoid triggers"
Hypertension (High BP),"fatigue, dizziness, chest pain","blood pressure medication, low-salt diet"
Diabetes (High Sugar Symptoms),"fatigue, frequent urination, excessive thirst, blurred vision","consult doctor, insulin (if prescribed), diet control"
Migraine,"dizziness, headache, sensitivity to light","ibuprofen, rest in dark room, hydration"
Flu,"sore throat, runny nose, fatigue","paracetamol, rest, hydration"
Common Cold,"sneezing, runny nose, fatigue, sore throat","rest, steam inhalation, paracetamol"
Common Cold,"runny nose, sore throat","rest, steam inhalation, paracetamol"
Hypertension (High BP),"headache, chest pain, dizziness, fatigue","blood pressure medication, low-salt diet"
Common Cold,"cough, sore throat, runny nose","rest, steam inhalation, paracetamol"
Migraine,"headache, sensitivity to light","ibuprofen, rest in dark room, hydration"
Malaria,"sweating, chills","antimalarial drugs, paracetamol"
Food Poisoning,"nausea, stomach pain","ORS, hydration, light diet"
Common Cold,"cough, fatigue, sore throat, sneezing","rest, steam inhalation, paracetamol"
Malaria,"sweating, chills","antimalarial drugs, paracetamol"
Food Poisoning,"stomach pain, nausea","ORS, hydration, light diet"
Migraine,"nausea, sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
COVID-19,"loss of taste, fever, fatigue, loss of smell","rest, hydration, medical checkup"
Asthma,"chest tightness, cough, wheezing, shortness of breath","inhaler, avoid triggers"
Diabetes (High Sugar Symptoms),"fatigue, blurred vision","consult doctor, insulin (if prescribed), diet control"
Common Cold,"fatigue, sneezing, sore throat","rest, steam inhalation, paracetamol"
Migraine,"dizziness, headache, nausea","ibuprofen, rest in dark room, hydration"
Flu,"cough, sore throat","paracetamol, rest, hydration"
Migraine,"sensitivity to light, dizziness, nausea, headache","ibuprofen, rest in dark room, hydration"
Asthma,"chest tightness, wheezing, cough, shortness of breath","inhaler, avoid triggers"
Migraine,"nausea, dizziness, headache","ibuprofen, rest in dark room, hydration"
Food Poisoning,"fever, nausea","ORS, hydration, light diet"
Allergy,"rash, itchy eyes, runny nose","antihistamine, avoid allergen"
Hypertension (High BP),"dizziness, headache, fatigue","blood pressure medication, low-salt diet"
Migraine,"headache, sensitivity to light, dizziness, nausea","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
Flu,"headache, sore throat, fatigue","paracetamol, rest, hydration"
Flu,"fatigue, cough, fever, sore throat","paracetamol, rest, hydration"
Food Poisoning,"diarrhea, fever, stomach pain","ORS, hydration, light diet"
Common Cold,"sneezing, sore throat","rest, steam inhalation, paracetamol"
Malaria,"chills, nausea","antimalarial drugs, paracetamol"
Common Cold,"sore throat, cough","rest, steam inhalation, paracetamol"
Food Poisoning,"nausea, diarrhea, fever","ORS, hydration, light diet"
COVID-19,"loss of smell, loss of taste, fatigue, fever","rest, hydration, medical checkup"
Migraine,"nausea, sensitivity to light, dizziness, headache","ibuprofen, rest in dark room, hydration"
Malaria,"headache, sweating, nausea, chills","antimalarial drugs, paracetamol"
Migraine,"nausea, headache, sensitivity to light, dizziness","ibuprofen, rest in dark room, hydration"
Asthma,"cough, shortness of breath","inhaler, avoid triggers"
COVID-19,"loss of taste, loss of smell, difficulty breathing","rest, hydration, medical checkup"
Asthma,"shortness of breath, chest tightness, cough","inhaler, avoid triggers"
COVID-19,"loss of smell, fatigue","rest, hydration, medical checkup"
Asthma,"cough, shortness of breath","inhaler, avoid triggers"
Diabetes (High Sugar Symptoms),"excessive thirst, blurred vision","consult doctor, insulin (if prescribed), diet control"
Asthma,"shortness of breath, chest tightness, cough, wheezing","inhaler, avoid triggers"
Hypertension (High BP),"fatigue, chest pain","blood pressure medication, low-salt diet"
Malaria,"chills, headache, sweating","antimalarial drugs, paracetamol"
Migraine,"headache, nausea","ibuprofen, rest in dark room, hydration"
COVID-19,"fatigue, difficulty breathing, fever, loss of taste","rest, hydration, medical checkup"
Common Cold,"runny nose, fatigue, sore throat, cough","rest, steam inhalation, paracetamol"
Food Poisoning,"vomiting, stomach pain","ORS, hydration, light diet"
Allergy,"runny nose, sneezing, rash, itchy eyes","antihistamine, avoid allergen"
Allergy,"itchy eyes, rash, sneezing, runny nose","antihistamine, avoid allergen"
Diabetes (High Sugar Symptoms),"excessive thirst, blurred vision","consult doctor, insulin (if prescribed), diet control"
Malaria,"headache, nausea, sweating, chills","antimalarial drugs, paracetamol"
Hypertension (High BP),"headache, fatigue","blood pressure medication, low-salt diet"
Food Poisoning,"fever, stomach pain","ORS, hydration, light diet"
Diabetes (High Sugar Symptoms),"blurred vision, fatigue","consult doctor, insulin (if prescribed), diet control"
Hypertension (High BP),"chest pain, headache, fatigue","blood pressure medication, low-salt diet"
COVID-19,"difficulty breathing, fatigue, fever, cough","rest, hydration, medical checkup"
Hypertension (High BP),"chest pain, headache","blood pressure medication, low-salt diet"
Common Cold,"sore throat, cough","rest, steam inhalation, paracetamol"
COVID-19,"difficulty breathing, fatigue, cough","rest, hydration, medical checkup"
Flu,"fever, sore throat, runny nose, fatigue","paracetamol, rest, hydration"
COVID-19,"loss of taste, difficulty breathing, cough","rest, hydration, medical checkup"
Allergy,"sneezing, itchy eyes, rash, runny nose","antihistamine, avoid allergen"
Food Poisoning,"nausea, fever, vomiting","ORS, hydration, light diet"
COVID-19,"loss of taste, cough, fatigue","rest, hydration, medical checkup"
Asthma,"chest tightness, shortness of breath, cough","inhaler, avoid triggers"
Migraine,"nausea, dizziness","ibuprofen, rest in dark room, hydration"
Food Poisoning,"diarrhea, nausea, fever, vomiting","ORS, hydration, light diet"
Hypertension (High BP),"headache, chest pain, dizziness, fatigue","blood pressure medication, low-salt diet"
Hypertension (High BP),"chest pain, fatigue, dizziness, headache","blood pressure medication, low-salt diet"
Diabetes (High Sugar Symptoms),"frequent urination, fatigue, blurred vision","consult doctor, insulin (if prescribed), diet control"
Flu,"cough, fatigue, runny nose","paracetamol, rest, hydration"
Hypertension (High BP),"headache, fatigue","blood pressure medication, low-salt diet"
Flu,"runny nose, fatigue, cough","paracetamol, rest, hydration"
Diabetes (High Sugar Symptoms),"blurred vision, excessive thirst, frequent urination","consult doctor, insulin (if prescribed), diet control"
Food Poisoning,"stomach pain, vomiting","ORS, hydration, light diet"
Food Poisoning,"nausea, vomiting, diarrhea","ORS, hydration, light diet"
Food Poisoning,"stomach pain, diarrhea, nausea, vomiting","ORS, hydration, light diet"
Food Poisoning,"nausea, diarrhea, fever","ORS, hydration, light diet"
Diabetes (High Sugar Symptoms),"blurred vision, fatigue, frequent urination","consult doctor, insulin (if prescribed), diet control"
Allergy,"rash, runny nose, sneezing, itchy eyes","antihistamine, avoid allergen"
Allergy,"rash, itchy eyes, runny nose, sneezing","antihistamine, avoid allergen"
COVID-19,"fatigue, loss of taste, fever","rest, hydration, medical checkup"
Migraine,"headache, sensitivity to light, nausea, dizziness","ibuprofen, rest in dark room, hydration"
Migraine,"nausea, sensitivity to light, dizziness, headache","ibuprofen, rest in dark room, hydration"
Migraine,"dizziness, headache, nausea","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"fatigue, frequent urination","consult doctor, insulin (if prescribed), diet control"
Food Poisoning,"diarrhea, stomach pain, nausea","ORS, hydration, light diet"
Hypertension (High BP),"fatigue, chest pain, headache","blood pressure medication, low-salt diet"
Flu,"cough, headache, runny nose, sore throat","paracetamol, rest, hydration"
Migraine,"dizziness, headache","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"headache, fatigue, chest pain, dizziness","blood pressure medication, low-salt diet"
Malaria,"chills, nausea","antimalarial drugs, paracetamol"
Asthma,"wheezing, shortness of breath, chest tightness, cough","inhaler, avoid triggers"
Flu,"cough, fever","paracetamol, rest, hydration"
COVID-19,"loss of smell, fever, fatigue","rest, hydration, medical checkup"
Allergy,"runny nose, itchy eyes, sneezing","antihistamine, avoid allergen"
Diabetes (High Sugar Symptoms),"fatigue, blurred vision, frequent urination","consult doctor, insulin (if prescribed), diet control"
Hypertension (High BP),"fatigue, dizziness, chest pain, headache","blood pressure medication, low-salt diet"
Asthma,"shortness of breath, cough, wheezing, chest tightness","inhaler, avoid triggers"
Flu,"sore throat, headache","paracetamol, rest, hydration"
Asthma,"wheezing, cough, shortness of breath, chest tightness","inhaler, avoid triggers"
Common Cold,"cough, sore throat","rest, steam inhalation, paracetamol"
Food Poisoning,"diarrhea, stomach pain","ORS, hydration, light diet"
Asthma,"wheezing, shortness of breath","inhaler, avoid triggers"
Flu,"sore throat, headache, fever, cough","paracetamol, rest, hydration"
COVID-19,"difficulty breathing, fatigue, loss of taste","rest, hydration, medical checkup"
Hypertension (High BP),"dizziness, headache, fatigue","blood pressure medication, low-salt diet"
Migraine,"nausea, dizziness, headache","ibuprofen, rest in dark room, hydration"
Asthma,"chest tightness, cough, shortness of breath, wheezing","inhaler, avoid triggers"
Migraine,"nausea, sensitivity to light, dizziness, headache","ibuprofen, rest in dark room, hydration"
Common Cold,"runny nose, cough","rest, steam inhalation, paracetamol"
Hypertension (High BP),"dizziness, chest pain, headache, fatigue","blood pressure medication, low-salt diet"
Asthma,"cough, chest tightness, wheezing","inhaler, avoid triggers"
Food Poisoning,"diarrhea, stomach pain","ORS, hydration, light diet"
Migraine,"dizziness, nausea, sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Common Cold,"runny nose, fatigue","rest, steam inhalation, paracetamol"
Food Poisoning,"diarrhea, vomiting, fever","ORS, hydration, light diet"
Malaria,"nausea, headache","antimalarial drugs, paracetamol"
Flu,"fever, runny nose, headache, sore throat","paracetamol, rest, hydration"
Allergy,"rash, sneezing, runny nose, itchy eyes","antihistamine, avoid allergen"
Diabetes (High Sugar Symptoms),"excessive thirst, blurred vision, fatigue","consult doctor, insulin (if prescribed), diet control"
Common Cold,"runny nose, sneezing, sore throat, cough","rest, steam inhalation, paracetamol"
Malaria,"nausea, chills, fever","antimalarial drugs, paracetamol"
Common Cold,"fatigue, sore throat, sneezing","rest, steam inhalation, paracetamol"
Migraine,"sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Flu,"runny nose, fever, cough, fatigue","paracetamol, rest, hydration"
Asthma,"cough, shortness of breath, wheezing","inhaler, avoid triggers"
Flu,"headache, fatigue","paracetamol, rest, hydration"
Flu,"cough, fatigue, headache, sore throat","paracetamol, rest, hydration"
Migraine,"dizziness, nausea, headache","ibuprofen, rest in dark room, hydration"
Allergy,"itchy eyes, sneezing","antihistamine, avoid allergen"
Flu,"runny nose, fatigue, headache","paracetamol, rest, hydration"
Common Cold,"cough, fatigue, runny nose","rest, steam inhalation, paracetamol"
Asthma,"shortness of breath, cough, wheezing","inhaler, avoid triggers"
Hypertension (High BP),"fatigue, chest pain, dizziness","blood pressure medication, low-salt diet"
Migraine,"sensitivity to light, nausea, dizziness","ibuprofen, rest in dark room, hydration"
Migraine,"sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Food Poisoning,"stomach pain, fever, vomiting, nausea","ORS, hydration, light diet"
COVID-19,"loss of smell, loss of taste, cough, difficulty breathing","rest, hydration, medical checkup"
Flu,"headache, fever, cough, sore throat","paracetamol, rest, hydration"
Diabetes (High Sugar Symptoms),"frequent urination, fatigue, excessive thirst, blurred vision","consult doctor, insulin (if prescribed), diet control"
Diabetes (High Sugar Symptoms),"blurred vision, fatigue, excessive thirst","consult doctor, insulin (if prescribed), diet control"
Flu,"fatigue, runny nose, headache, sore throat","paracetamol, rest, hydration"
Malaria,"chills, headache, nausea","antimalarial drugs, paracetamol"
Asthma,"shortness of breath, wheezing, chest tightness","inhaler, avoid triggers"
Common Cold,"cough, sore throat","rest, steam inhalation, paracetamol"
Common Cold,"fatigue, runny nose, sore throat","rest, steam inhalation, paracetamol"
Malaria,"nausea, fever","antimalarial drugs, paracetamol"
Flu,"fever, fatigue, runny nose, headache","paracetamol, rest, hydration"
Allergy,"runny nose, sneezing, itchy eyes, rash","antihistamine, avoid allergen"
Common Cold,"sore throat, fatigue, cough","rest, steam inhalation, paracetamol"
Flu,"runny nose, fever","paracetamol, rest, hydration"
Malaria,"sweating, fever","antimalarial drugs, paracetamol"
Malaria,"fever, chills, headache, nausea","antimalarial drugs, paracetamol"
Hypertension (High BP),"dizziness, headache, fatigue","blood pressure medication, low-salt diet"
Hypertension (High BP),"dizziness, chest pain","blood pressure medication, low-salt diet"
Common Cold,"sneezing, runny nose","rest, steam inhalation, paracetamol"
Malaria,"chills, sweating, nausea, fever","antimalarial drugs, paracetamol"
Flu,"fever, fatigue, sore throat, cough","paracetamol, rest, hydration"
COVID-19,"loss of smell, difficulty breathing, fatigue","rest, hydration, medical checkup"
Asthma,"cough, chest tightness","inhaler, avoid triggers"
Hypertension (High BP),"dizziness, fatigue","blood pressure medication, low-salt diet"
Migraine,"nausea, sensitivity to light, dizziness, headache","ibuprofen, rest in dark room, hydration"
Asthma,"wheezing, chest tightness, cough, shortness of breath","inhaler, avoid triggers"
Food Poisoning,"diarrhea, vomiting","ORS, hydration, light diet"
Flu,"cough, headache, fever","paracetamol, rest, hydration"
COVID-19,"fatigue, loss of taste, fever","rest, hydration, medical checkup"
Migraine,"nausea, headache","ibuprofen, rest in dark room, hydration"
Malaria,"sweating, fever, chills","antimalarial drugs, paracetamol"
Diabetes (High Sugar Symptoms),"frequent urination, fatigue, blurred vision","consult doctor, insulin (if prescribed), diet control"
Malaria,"chills, sweating, fever","antimalarial drugs, paracetamol"
Malaria,"nausea, sweating, chills, fever","antimalarial drugs, paracetamol"
COVID-19,"loss of smell, fatigue, cough, fever","rest, hydration, medical checkup"
Migraine,"dizziness, nausea, headache","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"fatigue, dizziness, chest pain","blood pressure medication, low-salt diet"
Food Poisoning,"stomach pain, nausea, fever","ORS, hydration, light diet"
COVID-19,"fatigue, fever","rest, hydration, medical checkup"
Malaria,"headache, chills","antimalarial drugs, paracetamol"
Malaria,"headache, fever","antimalarial drugs, paracetamol"
Migraine,"headache, sensitivity to light","ibuprofen, rest in dark room, hydration"
Malaria,"chills, nausea, headache","antimalarial drugs, paracetamol"
Common Cold,"sneezing, runny nose","rest, steam inhalation, paracetamol"
COVID-19,"loss of smell, loss of taste","rest, hydration, medical checkup"
COVID-19,"difficulty breathing, loss of taste","rest, hydration, medical checkup"
Migraine,"headache, nausea, dizziness, sensitivity to light","ibuprofen, rest in dark room, hydration"
Flu,"runny nose, fever","paracetamol, rest, hydration"
Common Cold,"sore throat, cough","rest, steam inhalation, paracetamol"
COVID-19,"fatigue, difficulty breathing, fever","rest, hydration, medical checkup"
Hypertension (High BP),"fatigue, chest pain","blood pressure medication, low-salt diet"
Common Cold,"sneezing, sore throat","rest, steam inhalation, paracetamol"
Flu,"cough, runny nose","paracetamol, rest, hydration"
Flu,"runny nose, headache, fatigue, sore throat","paracetamol, rest, hydration"
Flu,"runny nose, cough","paracetamol, rest, hydration"
Allergy,"sneezing, rash, itchy eyes, runny nose","antihistamine, avoid allergen"
Common Cold,"fatigue, sore throat, sneezing, runny nose","rest, steam inhalation, paracetamol"
Food Poisoning,"diarrhea, nausea, vomiting","ORS, hydration, light diet"
Hypertension (High BP),"headache, fatigue, dizziness","blood pressure medication, low-salt diet"
Diabetes (High Sugar Symptoms),"fatigue, excessive thirst, frequent urination","consult doctor, insulin (if prescribed), diet control"
Flu,"fatigue, fever, runny nose","paracetamol, rest, hydration"
Asthma,"shortness of breath, wheezing, cough","inhaler, avoid triggers"
Flu,"runny nose, headache, cough, fever","paracetamol, rest, hydration"
Hypertension (High BP),"fatigue, dizziness, chest pain","blood pressure medication, low-salt diet"
Malaria,"chills, sweating, headache","antimalarial drugs, paracetamol"
Allergy,"sneezing, itchy eyes, rash","antihistamine, avoid allergen"
Allergy,"itchy eyes, runny nose","antihistamine, avoid allergen"
Allergy,"itchy eyes, runny nose, rash","antihistamine, avoid allergen"
Flu,"fever, sore throat, fatigue","paracetamol, rest, hydration"
COVID-19,"loss of taste, fatigue, loss of smell","rest, hydration, medical checkup"
Diabetes (High Sugar Symptoms),"frequent urination, blurred vision, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
Hypertension (High BP),"chest pain, dizziness","blood pressure medication, low-salt diet"
Asthma,"shortness of breath, wheezing","inhaler, avoid triggers"
Flu,"headache, fever, fatigue, runny nose","paracetamol, rest, hydration"
Food Poisoning,"fever, nausea, diarrhea","ORS, hydration, light diet"
Allergy,"rash, sneezing, itchy eyes","antihistamine, avoid allergen"
COVID-19,"difficulty breathing, cough","rest, hydration, medical checkup"
Flu,"cough, fatigue","paracetamol, rest, hydration"
Hypertension (High BP),"headache, dizziness, chest pain, fatigue","blood pressure medication, low-salt diet"
Allergy,"runny nose, itchy eyes","antihistamine, avoid allergen"
Hypertension (High BP),"chest pain, headache, fatigue","blood pressure medication, low-salt diet"
Asthma,"wheezing, shortness of breath, cough, chest tightness","inhaler, avoid triggers"
Asthma,"shortness of breath, chest tightness, wheezing","inhaler, avoid triggers"
COVID-19,"loss of taste, fatigue, difficulty breathing","rest, hydration, medical checkup"
COVID-19,"fatigue, difficulty breathing, fever, loss of smell","rest, hydration, medical checkup"
Hypertension (High BP),"fatigue, dizziness, headache","blood pressure medication, low-salt diet"
COVID-19,"loss of smell, loss of taste","rest, hydration, medical checkup"
Malaria,"sweating, nausea","antimalarial drugs, paracetamol"
Malaria,"chills, sweating, fever, headache","antimalarial drugs, paracetamol"
Allergy,"sneezing, rash, runny nose, itchy eyes","antihistamine, avoid allergen"
Hypertension (High BP),"chest pain, dizziness, headache","blood pressure medication, low-salt diet"
Hypertension (High BP),"headache, fatigue, dizziness","blood pressure medication, low-salt diet"
Allergy,"runny nose, rash, sneezing, itchy eyes","antihistamine, avoid allergen"
Migraine,"dizziness, sensitivity to light, nausea, headache","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"blurred vision, frequent urination","consult doctor, insulin (if prescribed), diet control"
Malaria,"nausea, sweating, headache, chills","antimalarial drugs, paracetamol"
Malaria,"fever, sweating, headache","antimalarial drugs, paracetamol"
Diabetes (High Sugar Symptoms),"frequent urination, fatigue","consult doctor, insulin (if prescribed), diet control"
Hypertension (High BP),"headache, fatigue","blood pressure medication, low-salt diet"
Malaria,"chills, sweating","antimalarial drugs, paracetamol"
